"inc_code","category","subcategory"
"09210","forgery and counterfeiting","forgery and counterfeiting"
"09215","forgery and counterfeiting","forgery and counterfeiting"
"09220","forgery and counterfeiting","forgery and counterfeiting"
"09250","fraud","fraud"
"09261","forgery and counterfeiting","forgery and counterfeiting"
"09262","forgery and counterfeiting","forgery and counterfeiting"
"09263","fraud","fraud"
"09264","fraud","fraud"
"09265","fraud","fraud"
"09266","fraud","fraud"
"09267","fraud","fraud"
"09268","fraud","fraud"
"09269","fraud","fraud"
"09270","fraud","fraud"
"09271","fraud","fraud"
"09310","fraud","fraud"
"09320","fraud","fraud"
"09330","fraud","fraud"
"09340","fraud","fraud"
"10010","embezzlement","embezzlement"
"10015","embezzlement","embezzlement"
"10020","embezzlement","embezzlement"
"10025","embezzlement","embezzlement"
"10030","embezzlement","embezzlement"
"10035","embezzlement","embezzlement"
"10040","embezzlement","embezzlement"
"10045","embezzlement","embezzlement"
"10050","embezzlement","embezzlement"
"10055","embezzlement","embezzlement"
"10060","embezzlement","embezzlement"
"10065","embezzlement","embezzlement"
"10070","embezzlement","embezzlement"
"10075","embezzlement","embezzlement"
"10080","embezzlement","embezzlement"
"10085","embezzlement","embezzlement"
"10090","embezzlement","embezzlement"
"10110","fraud","fraud"
"10115","fraud","fraud"
"10117","fraud","fraud"
"10120","fraud","fraud"
"10125","fraud","fraud"
"10130","fraud","fraud"
"10140","fraud","fraud"
"10145","larceny theft","larceny theft - other"
"10149","forgery and counterfeiting","forgery and counterfeiting"
"11011","stolen property","stolen property"
"11012","stolen property","stolen property"
"11013","stolen property","stolen property"
"11014","stolen property","stolen property"
"11015","stolen property","stolen property"
"11016","stolen property","stolen property"
"11017","stolen property","stolen property"
"12006","weapons offense","weapons offense"
"12008","suspicious","suspicious package"
"12010","weapons offense","weapons offense"
"12015","weapons offense","weapons offense"
"12024","weapons offense","weapons offense"
"12025","weapons offense","weapons offense"
"12026","assault","aggravated assault"
"12027","weapons offense","weapons offense"
"12030","weapons offense","weapons offense"
"12040","weapons offense","weapons offense"
"12050","weapons offence","weapons offense"
